x, y, z, porePressure
   24.113,    16.500,     0.000,    664637.94
   24.113,    16.887,     0.000,    660838.56
   24.887,    17.113,     0.000,    658627.31
   24.887,    17.500,     0.000,    654827.94
   24.887,    17.887,     0.000,    651028.56
   24.500,    17.113,     0.000,    658627.31
   24.500,    17.500,     0.000,    654827.94
   24.500,    17.887,     0.000,    651028.56
   24.113,    17.113,     0.000,    658627.31
   24.113,    17.500,     0.000,    654827.94
   24.113,    17.887,     0.000,    651028.56
   24.887,    18.113,     0.000,    648817.31
   24.887,    18.500,     0.000,    645017.94
   24.887,    18.887,     0.000,    641218.56
   24.500,    18.113,     0.000,    648817.31
   24.500,    18.500,     0.000,    645017.94
   24.500,    18.887,     0.000,    641218.56
   24.113,    18.113,     0.000,    648817.31
   24.113,    18.500,     0.000,    645017.94
   24.113,    18.887,     0.000,    641218.56
   24.887,    19.113,     0.000,    639007.31
   24.887,    19.500,     0.000,    635207.94
   24.887,    19.887,     0.000,    631408.56
   24.500,    19.113,     0.000,    639007.31
   24.500,    19.500,     0.000,    635207.94
   24.500,    19.887,     0.000,    631408.56
   24.113,    19.113,     0.000,    639007.31
   24.113,    19.500,     0.000,    635207.94
   24.113,    19.887,     0.000,    631408.56
   24.887,    20.113,     0.000,    629197.31
   24.887,    20.500,     0.000,    625397.94
   24.887,    20.887,     0.000,    621598.56
   24.500,    20.113,     0.000,    629197.31
   24.500,    20.500,     0.000,    625397.94
   24.500,    20.887,     0.000,    621598.56
   24.113,    20.113,     0.000,    629197.31
   24.113,    20.500,     0.000,    625397.94
   24.113,    20.887,     0.000,    621598.56
   24.887,    21.113,     0.000,    619387.31
   24.887,    21.500,     0.000,    615587.94
   24.887,    21.887,     0.000,    611788.56
   24.500,    21.113,     0.000,    619387.31
   24.500,    21.500,     0.000,    615587.94
   24.500,    21.887,     0.000,    611788.56
   24.113,    21.113,     0.000,    619387.31
   24.113,    21.500,     0.000,    615587.94
   24.113,    21.887,     0.000,    611788.56
   24.887,    22.113,     0.000,    609577.31
   24.887,    22.500,     0.000,    605777.94
   24.887,    22.887,     0.000,    601978.56
   24.500,    22.113,     0.000,    609577.31
   24.500,    22.500,     0.000,    605777.94
   24.500,    22.887,     0.000,    601978.56
   24.113,    22.113,     0.000,    609577.31
   24.113,    22.500,     0.000,    605777.94
   24.113,    22.887,     0.000,    601978.56
   24.887,    23.113,     0.000,    599767.31
   24.887,    23.500,     0.000,    595967.94
   24.887,    23.887,     0.000,    592168.56
   24.500,    23.113,     0.000,    599767.31
   24.500,    23.500,     0.000,    595967.94
   24.500,    23.887,     0.000,    592168.56
   24.113,    23.113,     0.000,    599767.31
   24.113,    23.500,     0.000,    595967.94
   24.113,    23.887,     0.000,    592168.56
   24.887,    24.113,     0.000,    589957.31
   24.887,    24.500,     0.000,    586157.94
   24.887,    24.887,     0.000,    582358.56
   24.500,    24.113,     0.000,    589957.31
   24.500,    24.500,     0.000,    586157.94
   24.500,    24.887,     0.000,    582358.56
   24.113,    24.113,     0.000,    589957.31
   24.113,    24.500,     0.000,    586157.94
   24.113,    24.887,     0.000,    582358.56
   23.887,     0.113,     0.000,    825397.31
   23.887,     0.500,     0.000,    821597.94
   23.887,     0.887,     0.000,    817798.56
   23.500,     0.113,     0.000,    825397.31
   23.500,     0.500,     0.000,    821597.94
   23.500,     0.887,     0.000,    817798.56
   23.113,     0.113,     0.000,    825397.31
   23.113,     0.500,     0.000,    821597.94
   23.113,     0.887,     0.000,    817798.56
   23.887,     1.113,     0.000,    815587.31
   23.887,     1.500,     0.000,    811787.94
   23.887,     1.887,     0.000,    807988.56
   23.500,     1.113,     0.000,    815587.31
   23.500,     1.500,     0.000,    811787.94
   23.500,     1.887,     0.000,    807988.56
   23.113,     1.113,     0.000,    815587.31
   23.113,     1.500,     0.000,    811787.94
   23.113,     1.887,     0.000,    807988.56
   23.887,     2.113,     0.000,    805777.31
   23.887,     2.500,     0.000,    801977.94
   23.887,     2.887,     0.000,    798178.56
   23.500,     2.113,     0.000,    805777.31
   23.500,     2.500,     0.000,    801977.94
   23.500,     2.887,     0.000,    798178.56
   23.113,     2.113,     0.000,    805777.31
   23.113,     2.500,     0.000,    801977.94
   23.113,     2.887,     0.000,    798178.56
   23.887,     3.113,     0.000,    795967.31
   23.887,     3.500,     0.000,    792167.94
   23.887,     3.887,     0.000,    788368.56
   23.500,     3.113,     0.000,    795967.31
   23.500,     3.500,     0.000,    792167.94
   23.500,     3.887,     0.000,    788368.56
   23.113,     3.113,     0.000,    795967.31
   23.113,     3.500,     0.000,    792167.94
   23.113,     3.887,     0.000,    788368.56
   23.887,     4.113,     0.000,    786157.31
   23.887,     4.500,     0.000,    782357.94
   23.887,     4.887,     0.000,    778558.56
   23.500,     4.113,     0.000,    786157.31
   23.500,     4.500,     0.000,    782357.94
   23.500,     4.887,     0.000,    778558.56
   23.113,     4.113,     0.000,    786157.31
   23.113,     4.500,     0.000,    782357.94
   23.113,     4.887,     0.000,    778558.56
   23.887,     5.113,     0.000,    776347.31
   23.887,     5.500,     0.000,    772547.94
   23.887,     5.887,     0.000,    768748.56
   23.500,     5.113,     0.000,    776347.31
   23.500,     5.500,     0.000,    772547.94
   23.500,     5.887,     0.000,    768748.56
   23.113,     5.113,     0.000,    776347.31
   23.113,     5.500,     0.000,    772547.94
   23.113,     5.887,     0.000,    768748.56
   23.887,     6.113,     0.000,    766537.31
   23.887,     6.500,     0.000,    762737.94
   23.887,     6.887,     0.000,    758938.56
   23.500,     6.113,     0.000,    766537.31
   23.500,     6.500,     0.000,    762737.94
   23.500,     6.887,     0.000,    758938.56
   23.113,     6.113,     0.000,    766537.31
   23.113,     6.500,     0.000,    762737.94
   23.113,     6.887,     0.000,    758938.56
   23.887,     7.113,     0.000,    756727.31
   23.887,     7.500,     0.000,    752927.94
   23.887,     7.887,     0.000,    749128.56
   23.500,     7.113,     0.000,    756727.31
   23.500,     7.500,     0.000,    752927.94
   23.500,     7.887,     0.000,    749128.56
   23.113,     7.113,     0.000,    756727.31
   23.113,     7.500,     0.000,    752927.94
   23.113,     7.887,     0.000,    749128.56
   23.887,     8.113,     0.000,    746917.31
   23.887,     8.500,     0.000,    743117.94
   23.887,     8.887,     0.000,    739318.56
   23.500,     8.113,     0.000,    746917.31
   23.500,     8.500,     0.000,    743117.94
   23.500,     8.887,     0.000,    739318.56
   23.113,     8.113,     0.000,    746917.31
   23.113,     8.500,     0.000,    743117.94
   23.113,     8.887,     0.000,    739318.56
   23.887,     9.113,     0.000,    737107.31
   23.887,     9.500,     0.000,    733307.94
   23.887,     9.887,     0.000,    729508.56
