x, y, z, voidRatio
   24.887,    16.113,     0.000, 0.2999744
   24.887,    16.500,     0.000, 0.2999769
   24.887,    16.887,     0.000, 0.2999794
   24.500,    16.113,     0.000, 0.2999744
   24.500,    16.500,     0.000, 0.2999769
   24.500,    16.887,     0.000, 0.2999794
   24.113,    16.113,     0.000, 0.2999744
   24.113,    16.500,     0.000, 0.2999769
   24.113,    16.887,     0.000, 0.2999794
   24.887,    17.113,     0.000, 0.2999806
   24.887,    17.500,     0.000, 0.2999821
   24.887,    17.887,     0.000, 0.2999836
   24.500,    17.113,     0.000, 0.2999806
   24.500,    17.500,     0.000, 0.2999821
   24.500,    17.887,     0.000, 0.2999836
   24.113,    17.113,     0.000, 0.2999806
   24.113,    17.500,     0.000, 0.2999821
   24.113,    17.887,     0.000, 0.2999836
   24.887,    18.113,     0.000, 0.2999843
   24.887,    18.500,     0.000, 0.2999852
   24.887,    18.887,     0.000, 0.2999861
   24.500,    18.113,     0.000, 0.2999843
   24.500,    18.500,     0.000, 0.2999852
   24.500,    18.887,     0.000, 0.2999861
   24.113,    18.113,     0.000, 0.2999843
   24.113,    18.500,     0.000, 0.2999852
   24.113,    18.887,     0.000, 0.2999861
   24.887,    19.113,     0.000, 0.2999865
   24.887,    19.500,     0.000, 0.2999871
   24.887,    19.887,     0.000, 0.2999876
   24.500,    19.113,     0.000, 0.2999865
   24.500,    19.500,     0.000, 0.2999871
   24.500,    19.887,     0.000, 0.2999876
   24.113,    19.113,     0.000, 0.2999865
   24.113,    19.500,     0.000, 0.2999871
   24.113,    19.887,     0.000, 0.2999876
   24.887,    20.113,     0.000, 0.2999879
   24.887,    20.500,     0.000, 0.2999883
   24.887,    20.887,     0.000, 0.2999887
   24.500,    20.113,     0.000, 0.2999879
   24.500,    20.500,     0.000, 0.2999883
   24.500,    20.887,     0.000, 0.2999887
   24.113,    20.113,     0.000, 0.2999879
   24.113,    20.500,     0.000, 0.2999883
   24.113,    20.887,     0.000, 0.2999887
   24.887,    21.113,     0.000, 0.2999888
   24.887,    21.500,     0.000, 0.2999891
   24.887,    21.887,     0.000, 0.2999894
   24.500,    21.113,     0.000, 0.2999888
   24.500,    21.500,     0.000, 0.2999891
   24.500,    21.887,     0.000, 0.2999894
   24.113,    21.113,     0.000, 0.2999888
   24.113,    21.500,     0.000, 0.2999891
   24.113,    21.887,     0.000, 0.2999894
   24.887,    22.113,     0.000, 0.2999895
   24.887,    22.500,     0.000, 0.2999897
   24.887,    22.887,     0.000, 0.2999899
   24.500,    22.113,     0.000, 0.2999895
   24.500,    22.500,     0.000, 0.2999897
   24.500,    22.887,     0.000, 0.2999899
   24.113,    22.113,     0.000, 0.2999895
   24.113,    22.500,     0.000, 0.2999897
   24.113,    22.887,     0.000, 0.2999899
   24.887,    23.113,     0.000, 0.2999901
   24.887,    23.500,     0.000, 0.2999902
   24.887,    23.887,     0.000, 0.2999904
   24.500,    23.113,     0.000, 0.2999901
   24.500,    23.500,     0.000, 0.2999902
   24.500,    23.887,     0.000, 0.2999904
   24.113,    23.113,     0.000, 0.2999901
   24.113,    23.500,     0.000, 0.2999902
   24.113,    23.887,     0.000, 0.2999904
   24.887,    24.113,     0.000, 0.2999905
   24.887,    24.500,     0.000, 0.2999907
   24.887,    24.887,     0.000, 0.2999908
   24.500,    24.113,     0.000, 0.2999905
   24.500,    24.500,     0.000, 0.2999907
   24.500,    24.887,     0.000, 0.2999908
   24.113,    24.113,     0.000, 0.2999905
   24.113,    24.500,     0.000, 0.2999907
   24.113,    24.887,     0.000, 0.2999908
   23.887,     0.113,     0.000, 0.2774691
   23.887,     0.500,     0.000, 0.2799827
   23.887,     0.887,     0.000, 0.2825063
   23.500,     0.113,     0.000, 0.2774691
   23.500,     0.500,     0.000, 0.2799827
   23.500,     0.887,     0.000, 0.2825063
   23.113,     0.113,     0.000, 0.2774691
   23.113,     0.500,     0.000, 0.2799827
   23.113,     0.887,     0.000, 0.2825063
   23.887,     1.113,     0.000, 0.2837975
   23.887,     1.500,     0.000, 0.2857079
   23.887,     1.887,     0.000, 0.2876240
   23.500,     1.113,     0.000, 0.2837975
   23.500,     1.500,     0.000, 0.2857079
   23.500,     1.887,     0.000, 0.2876240
   23.113,     1.113,     0.000, 0.2837975
   23.113,     1.500,     0.000, 0.2857079
   23.113,     1.887,     0.000, 0.2876240
   23.887,     2.113,     0.000, 0.2885937
   23.887,     2.500,     0.000, 0.2900081
   23.887,     2.887,     0.000, 0.2914256
   23.500,     2.113,     0.000, 0.2885937
