x, y, z, porePressure
   24.113,    16.500,     0.000,    328635.38
   24.113,    16.887,     0.000,    324835.97
   24.887,    17.113,     0.000,    322624.75
   24.887,    17.500,     0.000,    318825.34
   24.887,    17.887,     0.000,    315025.94
   24.500,    17.113,     0.000,    322624.75
   24.500,    17.500,     0.000,    318825.34
   24.500,    17.887,     0.000,    315025.94
   24.113,    17.113,     0.000,    322624.75
   24.113,    17.500,     0.000,    318825.34
   24.113,    17.887,     0.000,    315025.94
   24.887,    18.113,     0.000,    312814.72
   24.887,    18.500,     0.000,    309015.31
   24.887,    18.887,     0.000,    305215.91
   24.500,    18.113,     0.000,    312814.72
   24.500,    18.500,     0.000,    309015.31
   24.500,    18.887,     0.000,    305215.91
   24.113,    18.113,     0.000,    312814.72
   24.113,    18.500,     0.000,    309015.31
   24.113,    18.887,     0.000,    305215.91
   24.887,    19.113,     0.000,    303004.72
   24.887,    19.500,     0.000,    299205.31
   24.887,    19.887,     0.000,    295405.91
   24.500,    19.113,     0.000,    303004.72
   24.500,    19.500,     0.000,    299205.31
   24.500,    19.887,     0.000,    295405.91
   24.113,    19.113,     0.000,    303004.72
   24.113,    19.500,     0.000,    299205.31
   24.113,    19.887,     0.000,    295405.91
   24.887,    20.113,     0.000,    293194.69
   24.887,    20.500,     0.000,    289395.28
   24.887,    20.887,     0.000,    285595.88
   24.500,    20.113,     0.000,    293194.69
   24.500,    20.500,     0.000,    289395.28
   24.500,    20.887,     0.000,    285595.88
   24.113,    20.113,     0.000,    293194.69
   24.113,    20.500,     0.000,    289395.28
   24.113,    20.887,     0.000,    285595.88
   24.887,    21.113,     0.000,    283384.66
   24.887,    21.500,     0.000,    279585.25
   24.887,    21.887,     0.000,    275785.88
   24.500,    21.113,     0.000,    283384.66
   24.500,    21.500,     0.000,    279585.25
   24.500,    21.887,     0.000,    275785.88
   24.113,    21.113,     0.000,    283384.66
   24.113,    21.500,     0.000,    279585.25
   24.113,    21.887,     0.000,    275785.88
   24.887,    22.113,     0.000,    273574.66
   24.887,    22.500,     0.000,    269775.25
   24.887,    22.887,     0.000,    265975.84
   24.500,    22.113,     0.000,    273574.66
   24.500,    22.500,     0.000,    269775.25
   24.500,    22.887,     0.000,    265975.84
   24.113,    22.113,     0.000,    273574.66
   24.113,    22.500,     0.000,    269775.25
   24.113,    22.887,     0.000,    265975.84
   24.887,    23.113,     0.000,    263764.62
   24.887,    23.500,     0.000,    259965.23
   24.887,    23.887,     0.000,    256165.83
   24.500,    23.113,     0.000,    263764.62
   24.500,    23.500,     0.000,    259965.23
   24.500,    23.887,     0.000,    256165.83
   24.113,    23.113,     0.000,    263764.62
   24.113,    23.500,     0.000,    259965.23
   24.113,    23.887,     0.000,    256165.83
   24.887,    24.113,     0.000,    253954.61
   24.887,    24.500,     0.000,    250155.22
   24.887,    24.887,     0.000,    246355.81
   24.500,    24.113,     0.000,    253954.61
   24.500,    24.500,     0.000,    250155.22
   24.500,    24.887,     0.000,    246355.81
   24.113,    24.113,     0.000,    253954.61
   24.113,    24.500,     0.000,    250155.22
